WBS Code,WBS ID,Level,Parent ID,Name,Issue Type,Summary,Epic Name,Epic Link,Scope,Internal Deps,External Deps,Size (points),Owner,Acceptance,MVP,Critical Path
2.7,PPL-9,2,P-E2,Bulk import,Story,PPL-9 Bulk import,,P-DIR,"F-WORK-3 bulk import",PPL-3,,3,Fullstack,"A spreadsheet is validated against the expected columns; rows missing a required value are skipped and reported while valid rows import; imported rows land only in the caller's org; the user sees valid-vs-rejected counts before and after",N,N
2.8,PPL-10,2,P-E2,Effective-dated job history,Story,PPL-10 Effective-dated job history,,P-DIR,"F-WORK-11 effective-dated assignment history (reuses the PPL-4 effective-dating primitive)","PPL-3,PPL-4",,5,Backend,"Every assignment change (position, org unit, grade, reporting line) is one dated record with a reason; a person's position and grade are queryable as of any past date; a future-dated change shows as scheduled and takes effect on its date",N,N
2.9,PPL-11,2,P-E2,Create employee from a hire,Story,PPL-11 Create employee from a hire,,P-DIR,"F-WORK-9 create employee from a hire","PPL-8,PPL-13,PPL-21",hiring,5,Fullstack,"When Hiring marks a candidate hired, an employee record is created from the candidate's details with nothing re-typed, linked to the funded position, starting at Preboarding/Onboarding; HR can complete it before start; a candidate who was not hired never becomes an employee",N,N
2.10,PPL-12,2,P-E2,Re-hire a former employee,Story,PPL-12 Re-hire a former employee,,P-DIR,"F-WORK-10 re-hire (employment periods)",PPL-11,hiring,5,Fullstack,"A returning person matched at hire (by identity, work email, or name + date of birth) gets a new employment period on the same person with prior history intact and the original hire date preserved; no duplicate record; a genuine new person gets a new record",N,N
2.11,PPL-43,2,P-E2,Worker directory read-model,Task,PPL-43 Worker directory read-model,,P-DIR,"rm_worker_directory event-maintained projection (enabling; replaces the live join-view)","PPL-3,PPL-21",,3,Backend,"Worker, lifecycle and capacity events maintain a directory projection carrying name/email/lifecycle_stage/grade/fte/department, idempotent on event id; re-delivering an event yields no duplicate; it answers directory search and filter without a live cross-table join and never returns rows outside the viewer's org",Y,N
3,P-E3,1,,Org structure & positions,Epic,P-E3 Org structure & positions,P-ORG,,"F-ORG-1..3: org units, positions, org chart",,,,EM,"The org is modelled as nested units and single-holder positions, and rendered as a scoped, drill-in org chart",Y,N
3.1,PPL-13,2,P-E3,Org units & positions,Story,PPL-13 Org units & positions,,P-ORG,"F-ORG-1, F-ORG-2 org units (acyclic), positions, assign/vacate single-holder",PPL-1,,8,Fullstack,"A Strategic user builds nested org units (cycles rejected) and defines positions bound to role and grade; a position is open or filled and holds at most one person; assigning a holder marks it filled and vacating marks it open",Y,N
3.2,PPL-14,2,P-E3,Org chart,Story,PPL-14 Org chart,,P-ORG,"F-ORG-3 org chart","PPL-13,PPL-39",,5,Fullstack,"Anyone sees an org chart at company, account, or project level with zoom, pan, and drill-in from an account to its projects; reporting lines come from positions, not a typed manager field; only the parts of the org the viewer may see are shown",Y,N
4,P-E4,1,,Resource allocation & utilization,Epic,P-E4 Resource allocation & utilization,P-ALLOC,,"F-ALLOC-1..3: read-only allocation & utilization from PM + supporting projections",,"pm,timesheet",,EM,"People surfaces who is allocated where and how loaded, read-only and scoped, degrading gracefully when PM or the timesheet feed is down",N,N
4.1,PPL-15,2,P-E4,Allocation read-model,Task,PPL-15 Allocation read-model,,P-ALLOC,"rm_allocation projection from PM assignment events (enabling; drives RBAC visibility)",PPL-1,pm,3,Backend,"PM assignment events build a store-only allocation read-model in people holding per-person/project/account percentage by date; re-delivering the same assignment event twice yields exactly one allocation row; the projection answers who-is-allocated-where as of a date",N,N
4.2,PPL-16,2,P-E4,Allocation view,Story,PPL-16 Allocation view,,P-ALLOC,"F-ALLOC-1, F-ALLOC-3 allocation view (read-only, scoped)","PPL-15,PPL-40,PPL-44",pm,5,Fullstack,"A user sees who is allocated to which projects and accounts by month with a per-person and per-account breakdown, read-only; a person on several projects sums across them; the view is scoped to the viewer and shows unavailable rather than wrong numbers when PM is down",N,N
4.3,PPL-17,2,P-E4,Utilization,Story,PPL-17 Utilization,,P-ALLOC,"F-ALLOC-2 utilization (planned vs actual, over-allocation)","PPL-15,PPL-4","pm,timesheet",5,Fullstack,"Each person's utilization shows planned vs actual split into billable/internal/bench/leave (read from PM, which owns the computation); anyone over 100% in a month is flagged over-allocated; figures degrade to unavailable or last-known when PM is down; the actual figure is omitted (not guessed) when the timesheet feed is absent",N,N
4.4,PPL-44,2,P-E4,Account/project read-model,Task,PPL-44 Account/project read-model,,P-ALLOC,"rm_account_project projection from PM (enabling; account/project id-to-name for labels & filters)",PPL-1,pm,2,Backend,"PM account/project events maintain an id-to-name account-project projection, idempotent on event id, so People can label allocations and filter the directory by account without a cross-module query",N,N
5,P-E5,1,,Workforce analytics,Epic,P-E5 Workforce analytics,P-ANALYTICS,,"F-ANALYTICS-1..2: workforce dashboard, forecast, skills picture + metrics projection",,pm,,EM,"Leaders turn workforce data into decisions through a scoped dashboard, forward-looking forecasts, and a skills/talent picture against demand",N,N
5.1,PPL-18,2,P-E5,Workforce dashboard (current state),Story,PPL-18 Workforce dashboard (current state),,P-ANALYTICS,"F-ANALYTICS-1 workforce dashboard, current-state metrics","PPL-17,PPL-5,PPL-40,PPL-45",pm,5,Fullstack,"A leader sees a workforce dashboard of current-state metrics (headcount, utilization, attrition-to-date, bench, tenure, seniority, skill coverage and gaps, critical-role coverage) scoped to what they manage (org-wide, account, team, or self)",N,N
5.2,PPL-19,2,P-E5,Skills & talent picture,Story,PPL-19 Skills & talent picture,,P-ANALYTICS,"F-ANALYTICS-2 skills & talent picture","PPL-5,PPL-40",,5,Fullstack,"A user sees the organization's skills broken down by seniority band against where skills are in demand, with search and paging, scoped to the viewer",N,N
5.3,PPL-45,2,P-E5,Workforce metrics read-model,Task,PPL-45 Workforce metrics read-model,,P-ANALYTICS,"rm_workforce_metrics projection (enabling, F-ANALYTICS-1)","PPL-21,PPL-5,PPL-15",pm,5,Backend,"Worker, lifecycle, capacity, skill and allocation events maintain a metrics projection (headcount, attrition, bench, tenure, skill coverage) by scope and period, idempotent on event id, so the dashboard reads pre-aggregated figures rather than scanning base tables",N,N
5.4,PPL-46,2,P-E5,Headcount & attrition forecast,Story,PPL-46 Headcount & attrition forecast,,P-ANALYTICS,"F-ANALYTICS-1 forward-looking hiring/attrition forecast","PPL-45,PPL-33",pm,5,Fullstack,"The dashboard shows forward-looking hiring and attrition forecasts and turnover/exit projections derived from lifecycle and offboarding history, scoped to what the leader manages; when source history is insufficient the forecast shows as unavailable rather than guessed",N,N
6,P-E6,1,,Headcount planning,Epic,P-E6 Headcount planning,P-HEAD,,"F-HEAD-1: headcount planning",,pm,,EM,"Strategic users budget positions per org unit and period and compare planned against filled, feeding the single demand pipeline",N,N
6.1,PPL-20,2,P-E6,Headcount plan,Story,PPL-20 Headcount plan,,P-HEAD,"F-HEAD-1 headcount plan",PPL-13,pm,5,Fullstack,"A Strategic user sets budgeted positions for an org unit in a period and sees planned-vs-filled; an open or vacated budgeted position emits people.position.opened so PM raises the one-seat backfill, rather than People raising a separate, parallel hiring signal",N,N
7,P-E7,1,,Lifecycle directory & dashboard,Epic,P-E7 Lifecycle directory & dashboard,P-LIFE,,"F-LIFE-1..3: lifecycle stage, directory, dashboard",,,,EM,"Every employee carries a stage on a guarded state machine, browsable by stage and surfaced as a per-tier dashboard with an attention list",Y,Y
7.1,PPL-21,2,P-E7,Lifecycle stage machine,Story,PPL-21 Lifecycle stage machine,,P-LIFE,"F-LIFE-1, F-WORK-7 lifecycle stage machine (sole owner of F-WORK-7)",PPL-3,,5,Backend,"Every employee carries a lifecycle stage (Preboarding to Onboarding to Probation to Active to Offboarding to Alumni, plus On leave and Did not start); only valid transitions are allowed and an illegal change (e.g. reopening an Alumni as Active) is rejected; each transition is recorded in the person's lifecycle/change history and emits a lifecycle event",Y,Y
7.2,PPL-22,2,P-E7,Lifecycle directory,Story,PPL-22 Lifecycle directory,,P-LIFE,"F-LIFE-2 lifecycle directory","PPL-21,PPL-40",,3,Fullstack,"A user browses everyone by stage with filters by stage and department; each row shows stage, progress, a plain health label (On track/At risk/Blocked/Overdue/Complete), manager, and next milestone, and opens that person's journey; the directory is scoped to the viewer",N,N
7.3,PPL-23,2,P-E7,Lifecycle dashboard,Story,PPL-23 Lifecycle dashboard,,P-LIFE,"F-LIFE-3 lifecycle dashboard","PPL-22,PPL-6",,5,Fullstack,"Each tier sees a fitting dashboard: leadership gets stage funnels, trends, department comparisons and a risk heatmap; a manager sees their team; a member sees their own stage, progress, tasks and documents; overdue and blocked items surface as an attention list that jumps to the record",N,N
8,P-E8,1,,Onboarding,Epic,P-E8 Onboarding,P-ONB,,"F-ONB-1..5: onboarding, IT handoff, preboarding, rescind/no-show",,"planner,integrations,pm,notifications",,EM,"A new hire is brought on board through an owner-laned checklist, with IT handoff, a self-service preboarding lane, and a clean did-not-start path",N,N
8.1,PPL-24,2,P-E8,Onboarding process & board,Story,PPL-24 Onboarding process & board,,P-ONB,"F-ONB-1, F-ONB-3 onboarding process & board",PPL-21,"planner,notifications",8,Fullstack,"Onboarding runs a multi-phase checklist (pre-onboarding to day to post) with each step owned by HR/IT/Lead/C&B, viewable as a board or a per-person checklist with a completion ring; moving a card or ticking items advances work, a blocked step must be resolved before continuing, and on completion the person advances out of onboarding and HR, their manager and IT are notified",N,N
8.2,PPL-25,2,P-E8,IT handoff,Story,PPL-25 IT handoff,,P-ONB,"F-ONB-2 IT handoff",PPL-24,integrations,3,Fullstack,"IT-owned onboarding steps (laptop, email/Teams, group mail, VPN/SSO, toolset) can be handed to the IT service desk from a pre-filled request",N,N
8.3,PPL-26,2,P-E8,Preboarding lane & day-1 readiness,Story,PPL-26 Preboarding lane & day-1 readiness,,P-ONB,"F-ONB-4 preboarding lane & day-1 readiness","PPL-24,PPL-6",,5,Fullstack,"A new hire has a preboarding task lane (confirm details, sign and upload documents, acknowledge equipment) distinct from the HR/IT/Lead lanes; what they submit is held for HR to confirm; day-1 readiness is a visible milestone and the person becomes Active only once onboarding completes",N,N
8.4,PPL-27,2,P-E8,Rescind / no-show before start,Story,PPL-27 Rescind / no-show before start,,P-ONB,"F-ONB-5 rescind / no-show before start",PPL-24,pm,3,Fullstack,"A hire who withdraws before day one or no-shows at onboarding is closed as Did not start (not Alumni) with a reason, and the filled project seat reopens in PM so the backfill resumes",N,N
9,P-E9,1,,Probation,Epic,P-E9 Probation,P-PROB,,"F-PROB-1..2: probation reviews & confirmation",,pm,,EM,"A probationer is reviewed at scheduled checkpoints (input vs decision separated) and confirmed, extended, or not confirmed by HR",N,Y
9.1,PPL-28,2,P-E9,Probation reviews,Story,PPL-28 Probation reviews,,P-PROB,"F-PROB-1 probation reviews","PPL-21,PPL-35",,5,Fullstack,"A person in probation has scheduled checkpoints (e.g. 1-month, 2-month, and a confirmation around 90 days) capturing a 1-5 score and reviewer note against weighted objectives with progress and a risk indicator; a Team Lead/EM submits review input but cannot decide the outcome",N,Y
9.2,PPL-29,2,P-E9,Confirmation decision,Story,PPL-29 Confirmation decision,,P-PROB,"F-PROB-2 confirmation decision",PPL-28,pm,5,Fullstack,"At probation end HR records Pass & confirm (person becomes Active), Extend (a new confirmation date, repeatable, org-default length adjustable), or Do not confirm (offboarding begins); the decision records who and when; a Do-not-confirm signals PM exit-pending at the moment it is taken",N,Y
10,P-E10,1,,Movement,Epic,P-E10 Movement,P-MOVE,,"F-MOVE-1..3: movement request, approval, effective-date apply, mobility inbound",,"pm,hiring",,EM,"A job change is one record (promotion, transfer, or pay) routed through a single approval chain and applied on its effective date, whether started in People or arriving from Hiring",N,N
10.1,PPL-30,2,P-E10,Movement request & approval,Story,PPL-30 Movement request & approval,,P-MOVE,"F-MOVE-1, F-MOVE-2 movement request & approval","PPL-10,PPL-13",,8,Fullstack,"A Manager or AM proposes a promotion, transfer, or pay change for someone they manage stating from/to and an effective date; it runs the single canonical approval chain (a pay change skips leader review); any approver can reject or send back, and a rejected move does not take effect and its outcome is recorded",N,N
10.2,PPL-31,2,P-E10,Apply on effective date,Story,PPL-31 Apply on effective date,,P-MOVE,"F-MOVE-3 apply on effective date","PPL-30,PPL-4,PPL-10",pm,5,Backend,"An approved move applies on its effective date (not at approval) exactly once, re-binding the position and adding a dated pay record; any allocation change is committed through PM; the person is notified and a Hiring-originated move closes its originating application",N,N
10.3,PPL-32,2,P-E10,Internal-mobility inbound move,Story,PPL-32 Internal-mobility inbound move,,P-MOVE,"F-MOVE-1 internal-mobility inbound move",PPL-30,hiring,5,Fullstack,"An internal-mobility selection approved in Hiring arrives already PMO-capacity-approved and is recorded as a movement against the existing person (never a new hire); HR applies the people-policy aspect and does not re-approve capacity",N,N
11,P-E11,1,,Offboarding,Epic,P-E11 Offboarding,P-OFF,,"F-OFF-1..3: offboarding clearance, deactivation, completion",,"integrations,pm,notifications",,EM,"A leaver runs an owner-laned clearance workflow that revokes access, returns assets, and ends in Alumni with PM allocations closed",N,N
11.1,PPL-33,2,P-E11,Offboarding process & lanes,Story,PPL-33 Offboarding process & lanes,,P-OFF,"F-OFF-1 offboarding process & lanes",PPL-21,notifications,8,Fullstack,"Offboarding runs a clearance workflow (Receive information to Prepare to Execute to Complete) with parallel HR/Lead/IT/Finance lanes; a leaver is marked voluntary or involuntary with progress, health, last day and reason; it can be put on hold or cancelled before completion, returning the person to their prior stage",N,N
11.2,PPL-34,2,P-E11,"Deactivation, clearance & completion",Story,"PPL-34 Deactivation, clearance & completion",,P-OFF,"F-OFF-2, F-OFF-3 deactivation, clearance, completion",PPL-33,"integrations,pm,notifications",5,Fullstack,"IT and Finance steps cover access removal and asset return via a pre-filled service-desk request; for an involuntary exit access is revoked immediately rather than on the last day; when all lanes finish the person becomes Alumni, the record is retained per policy, parties are notified, and PM is signalled to end any open allocations",N,N
12,P-E12,1,,Performance,Epic,P-E12 Performance,P-PERF,,"F-PERF-1..4: scorecard, cycles & goals, calibration",,,,EM,"Performance runs on a versioned weighted scorecard through recurring cycles with goals/OKRs, calibrated across teams and able to seed a move",N,N
12.1,PPL-35,2,P-E12,Scorecard instrument & rules,Story,PPL-35 Scorecard instrument & rules,,P-PERF,"F-PERF-1, F-PERF-2 scorecard instrument (versioned)",PPL-3,,8,Fullstack,"A review uses a weighted scorecard of criteria grouped into pillars; core criteria are mandatory, an extreme 1 or 5 requires written evidence, and any criterion below 4 requires a top action; a guided maturity self-assessment feeds one criterion; a completed review keeps the criteria and weights it was scored against so re-weighting later never shifts past results",N,N
12.2,PPL-36,2,P-E12,Review cycles & goals/OKRs,Story,PPL-36 Review cycles & goals/OKRs,,P-PERF,"F-PERF-3 review cycles & goals/OKRs",PPL-35,,8,Fullstack,"HR runs recurring review cycles with per-person goals/OKRs (objective, key results, weight, progress) set by managers and the people themselves; My Scorecard and Team Evaluation views show the previous period for comparison; closing a cycle finalizes its reviews",N,N
12.3,PPL-37,2,P-E12,Calibration & promotion-from-review,Story,PPL-37 Calibration & promotion-from-review,,P-PERF,"F-PERF-4 calibration & promotion-from-review","PPL-36,PPL-30",,5,Fullstack,"Before a cycle closes, managers' ratings can be calibrated to normalize scores across teams and the calibrated result is finalized; a strong review outcome can seed a promotion or pay-change movement directly from the review",N,N
13,P-E13,1,,Time-off / Leave,Epic,P-E13 Time-off / Leave,P-LEAVE,,"F-LEAVE-1: leave proxy to the timesheet system",,integrations,,EM,"People surfaces leave balances and submits requests through the timesheet system, owning no leave data",N,N
13.1,PPL-38,2,P-E13,Leave balance & request,Story,PPL-38 Leave balance & request,,P-LEAVE,"F-LEAVE-1 leave balance & request (timesheet proxy)",PPL-1,integrations,5,Fullstack,"A person sees their leave balance and submits a request from within People, both handled by the timesheet system; People stores no leave data; if the timesheet system is unavailable the balance shows unavailable and a request is held until it can be submitted",N,N
14,P-E14,1,,Access control & data protection,Epic,P-E14 Access control & data protection,P-SEC,,"F-SEC-1, F-SEC-4: sensitive-data protection, scope derivation, cross-account grant",,pm,,EM,"Who sees whom is derived from tier, reporting line and live allocation, sensitive fields are masked and re-checked at request, and cross-account access is granted, never self-set",Y,N
14.1,PPL-39,2,P-E14,Sensitive-field masking & tier visibility,Story,PPL-39 Sensitive-field masking & tier visibility,,P-SEC,"F-SEC-1 sensitive-field masking + tier/reporting visibility","PPL-3,PPL-13",,3,Backend,"Pay, bank and tax show as Restricted to anyone who is not the record owner or a Strategic user and are editable only by Strategic; visibility otherwise follows tier and the reporting line derived from positions (Member sees self, Manager sees direct reports, Strategic sees all)",Y,N
14.2,PPL-40,2,P-E14,Allocation-driven scope & at-request re-check,Story,PPL-40 Allocation-driven scope & at-request re-check,,P-SEC,"F-SEC-1 allocation-driven scope + synchronous at-request re-check","PPL-15,PPL-39",pm,5,Backend,"A manager also sees the people allocated to projects they manage and a person on two accounts is visible to both account managers; sensitive-data access is re-checked at the moment of request by re-validating an active allocation synchronously against PM (not the lagging read-model), so the very next request after an allocation ends is refused with no stale window",N,N
14.3,PPL-41,2,P-E14,Cross-account access grant,Story,PPL-41 Cross-account access grant,,P-SEC,"F-SEC-4 cross-account access grant (suite-wide)",PPL-40,,5,Fullstack,"An Account Manager can request access to an account they don't own; a PMO or Strategic user grants or revokes it (never self-granted); a grant widens visibility to that account across People, Hiring and PM for its duration and revoking removes it everywhere immediately; both are audited",N,N
15,P-E15,1,,Assistant tools,Epic,P-E15 Assistant tools,P-AI,,"F-AI-1: assistant read & draft-approve tools",,agent,,EM,"Ask Seta can read what the user may see and draft changes, each held for human approval before save",N,N
15.1,PPL-42,2,P-E15,Read & draft-approve tools,Story,PPL-42 Read & draft-approve tools,,P-AI,"F-AI-1 read & draft-approve assistant tools","PPL-3,PPL-8,PPL-33,PPL-35,PPL-39,PPL-40",agent,5,Fullstack,"The assistant reads only what the current user may see and drafts changes (onboard someone, update a field, start an offboarding, record an evaluation); every drafted change is held for the user to approve before it is saved, and it never reads or changes anything the user couldn't themselves",N,N
